S,article_id,surprise_rating,second_rating,link,title,main_category,category_1,category_2,category_3,category_4,suprise_r1,suprise_r2,suprise_r3,surprise_avg,rouderd_suprise,like_r1,like_r2,like_r3,like_avg,rouded_like,c1_familiarity_r1,c1_familiarity_r2,c1_familiarity_r3,c2_familiarity_r1,c2_familiarity_r2,c2_familiarity_r3,c3_familiarity_r1,c3_familiarity_r2,c3_familiarity_r3,c4_familiarity_r1,c4_familiarity_r2,c4_familiarity_r3,article
412,268724,72,37,http://www.medicalnewstoday.com/articles/310799.php,Green tea compound could help treat Down syndrome,Genetics,Genetics,Pediatrics / Children's Health,Neurology / Neuroscience,Nutrition / Diet,4,5,4,4.333333333,4,4,5,4,4.33,4.33,3,3,4,2,2,3,3,4,4,3,5,4,Study coleader Dr Mara Dierssen Centre Genomic Regulation CRG Barcelona Spain colleagues reveal compound epigallocatechin gallate EGCG improved cognitive function individuals condition According researchers study represents first time treatment shown improvement cognitive skills people Down syndrome According National Down Syndrome Society around 1 every 691 babies United States born Down syndrome 400000 Americans living condition Down syndrome common genetic condition US occurring individual partial full additional copy chromosome 21 meaning three copies chromosome rather normal two This extra chromosome leads overexpression genes cause number physical symptoms including reduced muscle tone small head ears mouth flattened facial profile upwardslanting eyes Individuals Down syndrome may also experience problems cognitive function delayed language speech development learning memory impairments poor concentration According Dr Dierssen colleagues research shown cognitive impairments overexpression gene called DYRK1A studies mice suggested compound EGCG could reduce DYRK1A overexpression Now new study indicates compound could people Down syndrome achieving improvement cognitive function EGCG compound present green tea It belongs class antioxidants known polyphenols studies shown protect body cell damage cause human disease For study Dr Dierssen colleagues enrolled 84 individuals aged 1634 Down syndrome Fast facts Down syndrome Learn Down syndrome For 12 months participants randomized receive daily dose decaffeinated green tea containing EGCG  9 milligrams per kilogram  placebo Both groups also underwent weekly cognitive training The trial doubleblind meaning researchers participants families unaware treatment subject received All participants underwent cognitive tests brain imaging 3 6 12 months well 6 months treatment ceased Compared participants treated placebo researchers found treated EGCG scored much better certain areas cognitive function Specifically showed significant improvements three areas Furthermore assessing brain scans participant team found treated EGCG showed greater functional connectivity nerve cells received placebo It surprising see changes cognitive  reasoning learning memory attention capacities  suggest functional connectivity neurons brain also modified says study coleader Dr Rafael de la Torre Hospital del Mar Medical Research Institute Barcelona Spain Overall researchers believe results indicate EGCG may effective treatment people Down syndrome This first time treatment shown efficacy improvement cognitive tasks persons syndrome It must made clear discovery cure Down syndrome results proven larger populations may treatment improve individuals quality life Dr Mara Dierssen As well trials investigating efficacy safety EGCG larger cohorts team plans assess green tea compound may impact cognitive functioning children Down syndrome Our results already marginally positive adult population cerebral plasticity limited brain already completely developed authors note We believe treatment applied children results might even better Learn green tea might help treat rheumatoid arthritis
413,268477,43,37,http://www.medicalnewstoday.com/articles/310550.php,Alcohol exposure during adolescence leads to chronic stress vulnerability,Pediatrics / Children's Health,Pediatrics / Children's Health,Alcohol / Addiction / Illegal Drugs,Endocrinology,Anxiety / Stress,1,2,1,1.333333333,1,1,4,1,2,2,1,2,3,1,2,3,1,1,2,1,2,3,Drinking early midadolescence lead vulnerability chronic stress according new research Binghamton University State University New York A research team led Linda Spear distinguished professor psychology Binghamton University gave alcohol rats every day starting early midadolescence When team looked rats adulthood found adult males show hormonal stress adaptation making vulnerable chronic stress Stress hormones released get anxious stressful circumstance said Spear The classic stress hormone cortisol humans corticosterone rats When expose animals stressor first time show large hormone stress response However hormonal response normally adapts time less hormone released following repeated exposure relatively mild stressor And thats important cortisol corticosterone helps respond emergency But bad elevated levels long term sustained elevations levels hormones adverse effects lot body systems So cortisol needed emergencies want elevated time And found following adolescent alcohol exposure adults show hormonal stress adaptation They adapt chronic stressor suggests may vulnerable later chronic stress Spears work part national consortium funded National Institute Alcohol Alcohol Abuse thats examining using animal models effects alcohol exposure adolescence I think studies showing longlasting effects adolescent alcohol exposure innocuous And effects dramatic exposures mid early adolescence time alcohol use typically initiated humans So were trying understand neural mechanisms underlie effects ways prevent reverse consequences adolescent alcohol exposure said Spear
414,273567,42,19,http://www.medicalnewstoday.com/articles/315685.php,Is licorice intake during pregnancy linked to ADHD in offspring?,Pregnancy / Obstetrics,Pregnancy / Obstetrics,Nutrition / Diet,ADHD / ADD,Pediatrics / Children's Health,2,4,5,3.666666667,4,2,4,3,3,3,2,3,2,2,5,2,2,5,3,2,5,1,Study coauthor Katri Räikkönen University Helsinki Finland colleagues hypothesize glycyrrhizin the active ingredient licorice may interfere fetal neurodevelopment increasing levels the stress hormone cortisol The researchers recently reported findings American Journal Epidemiology Though licorice often hailed medicinal benefits  alleviation peptic ulcers canker sores  studies indicated plantderived product downsides A study reported Medical News Today November example associated licorice intake reduced fertility women studies also suggested licorice consumption pregnancy may lead poorer birth outcomes lower birth weight For latest study Räikkönen team investigated licorice intake pregnancy might influence cognitive functioning behavior offspring The researchers explain licorices active ingredient glycyrrhizin strong inhibitor placental 11βhydroxysteroid dehydrogenase type 2 11βHSD2 enzyme known block production glucocorticoids cortisol As such glycyrrhizin may increase glucocorticoid production research suggested prenatal exposure excess glucocorticoids associated psychiatric illness To test theory Räikkönen colleagues analyzed data 378 children aged 13 average born Helsinki Finland 1998 Data glycyrrhizin intake childrens mothers pregnancy gathered Low intake defined 249 milligrams glycyrrhizin per week high intake defined 500 milligrams glycyrrhizin  equivalent around 250 grams licorice The team used Child Behavior Checklist assess presence psychiatric problems among children neuropsychological tests used evaluate cognitive function Compared children born mothers low intake glycyrrhizin pregnancy born mothers high intake glycyrrhizin showed poorer performance memory tests Furthermore children mothers consumed large amounts glycyrrhizin pregnancy likely behaviors associated attention deficit hyperactivity disorder ADHD Additionally researchers found girls started puberty earlier mothers consumed high amounts glycyrrhizin pregnant Although studies needed order determine precise mechanisms maternal glycyrrhizin intake might impact cognition behavior offspring team speculates glycyrrhizin blocks 11βHSD2 leading increase cortisol  socalled stress hormone This cause harm developing fetus Commenting findings indicate researchers say that Licorice consumption pregnancy may associated harm developing offspring The team adds expectant mothers warned possible harms consuming products containing glycyrrhizin Learn Mediterranean diet could protect ADHD
415,266669,44,36,http://www.medicalnewstoday.com/articles/308695.php,Maternal smoking during pregnancy leaves its lasting mark on the child's genetic make-up,Smoking / Quit Smoking,Smoking / Quit Smoking,Pregnancy / Obstetrics,Pediatrics / Children's Health,Genetics,2,2,3,2.333333333,2,3,5,3,3.67,3.67,5,4,2,2,3,2,3,3,2,2,2,2,If mothers smoke pregnancy influence epigenetic programming unborn childs genetic makeup long term This may give rise increased risk development disease risks later childs life Researchers Helmholtz Centre Environmental Research UFZ Leipzig German Cancer Research Center DKFZ Heidelberg Heidelberg University discovered changes limited individual regions DNA In fact researchers stated Molecular Systems Biology journal particularly accumulate enhancers gene expression Maternal smoking pregnancy harmful unborn child well mother This known fact For first time demonstrate exposure tobacco smoke also causes epigenetic changes enhancers gene expression said Irina Lehmann Environmental Immunologist UFZ These deregulated enhancers distributed throughout childs entire genome Epigenetic changes form part countless processes occur human development The genetic material functions blueprint cells In order different cell types eg liver muscle cells develop certain genes must activated deactivated certain times One ways happens epigenetic changes disrupted various environmental factors In latest study group researchers Leipzig Heidelberg revealed epigenetic changes related tobacco smoke increase risk children developing lung diseases The underlying data comes epidemiological study entitled LiNA Lifestyle environmental factors Influence Newborns Allergy risk In study researchers asked environmental factors could negative influence childrens health pregnancy In collaboration Municipal Hospital St Georg Leipzig UFZ researchers monitoring 622 mothers children since 2006 The mothers underwent indepth examinations possible exposure environmental factors pregnancy For current work two groups motherchild pairs examined mothers smoked pregnancy mothers exposed tobacco smoke Together genome researchers working Roland Eils DKFZ Heidelberg University researchers examined epigenome mothers children They wanted find whether evidence epigenetic changes smoker families occur nonsmoker families  consequences may childrens health We able find evidence epigenetic changes smoking mothers well umbilical cord blood newborn babies said Lehmann The changes thus occur womb affect unborn childs gene regulation The researchers determined smoking particularly affects enhancer regions genome Enhancers DNA regions regulate expression one genes Lehmann explained that If enhancer region affected effects smoking may lead deregulation several genes time The researchers give example consequences deregulated enhancer work enzyme JNK2 cJun Nterminal protein kinase 2 plays role inflammatory responses If enhancer activates JNK2 affected may increase risk lung diseases childrens later life The researchers also determined epigenetic effects observed umbilical cord blood birth still seen several years child born However could ascertained beyond doubt whether effects longterm impacts exposure smoke prior birth Children exposed tobacco smoke even born usually continue exposed birth said Lehmann She added prolonged exposure cigarette smoke birth may contribute observed stability epigenetic changes In analysis researchers identified 400 enhancers affected tobacco smoke They regulate genes play role variety diseases diabetes adiposity even cancer This discovery allow us start understanding mechanisms make smoking cause wide range diseases said Roland Eils The insights research intended provide starting points new options treating environmental diseases The better understanding deregulation caused environmental factors better able respond this Nevertheless case tobacco smoke avoiding exposure still best alternative said Lehmann summary
416,269214,26,23,http://www.medicalnewstoday.com/articles/311295.php,Stress contagion possible amongst students and teachers: UBC study,Psychology / Psychiatry,Psychology / Psychiatry,Anxiety / Stress,Mental Health,Pediatrics / Children's Health,2,4,1,2.333333333,2,4,3,3,3.33,3.33,3,5,3,3,5,4,3,5,4,3,2,4,Teacher burnout student stress may linked according University British Columbia study The study first kind examine connection teacher burnout students cortisol levels biological indicator stress Researchers collected saliva samples 400 elementary school children tested cortisol levels They found classrooms teachers experienced burnout feelings emotional exhaustion students cortisol levels elevated Higher cortisol levels elementary school children linked learning difficulties well mental health problems This suggests stress contagion might taking place classroom among students teachers said Eva Oberle studys lead author newly appointed assistant professor Human Early Learning Partnership HELP UBCs school population public health It unknown came first  elevated cortisol teacher burnout We consider connection student teacher stress cyclical problem classroom Oberle said stressful classroom climate could result inadequate support teachers may impact teachers ability effectively manage students A poorly managed classroom contribute students needs met increasing stress This could reflected elevated cortisol levels students Alternatively stress could originate students may challenging teach increases anxiety behavioural problems special needs In scenario teachers could feel overwhelmed report higher levels burnout Our study reminder systemic issues facing teachers educators classroom sizes increase supports teachers cut said Oberle It clear number recent research studies teaching one stressful professions teachers need adequate resources support jobs order battle burnout alleviate stress classroom said UBC education professor Kimberly SchonertReichl studys coauthor director HELP If support teachers risk collateral damage students The study published Social Science  Medicine carried Grade 4 7 classrooms 17 public schools BCs Lower Mainland Teacher burnout determined survey results
417,267429,51,20,http://www.medicalnewstoday.com/articles/309470.php,Young adult survivors of childhood cancer report feeling middle-aged,Cancer / Oncology,Cancer / Oncology,Pediatrics / Children's Health,Pain / Anesthetics,Heart Disease,3,3,2,2.666666667,3,1,4,2,2.33,2.33,4,4,2,2,3,2,4,4,4,3,3,2,Do survivors childhood cancer return normal health grow up According new research DanaFarberBoston Childrens Cancer Blood Disorders Center Harvard TH Chan School Public Health overall healthrelated quality life young adult survivors childhood cancer resembles middleaged adults In study published today Journal National Cancer Institute investigators show childhood cancer survivors 18 29 years old report overall healthrelated quality life similar reported adults general population 40s The key variable determining peoples sense wellbeing presence absence chronic health conditions Childhood cancer survivors found higher risks heart disease infertility lung disease cancers chronic conditions related largely prior chemotherapy radiation surgery Examining health indicators 18to49 yearolds participate national Childhood Cancer Survivor Study CCSS investigators found 20 percent reported chronic conditions As survival childhood cancer increased substantially since 1970s research expanded ways reduce toxicity treatment minimize late effects well cure disease Although number pediatric cancers treated less intensive therapies aggressive treatments high toxicities remain part care This research provides easily accessible way compare adult survivors childhood cancer general population terms healthrelated quality life normally declines people age said Lisa Diller MD chief medical officer DanaFarberBoston Childrens studys senior author Our findings indicate survivors accelerated aging also help us understand healthrelated risks associated cancer child Whats encouraging lower quality life scores associated chronic disease treatment history pediatric cancer itself If prevent treatmentrelated conditions changes therapy use cancer childhood cancer become acute rather chronic illness The JNCI study first use Medical Expenditures Panel Survey MEPS compare healthrelated quality life general population childhood cancer survivors The surveys household component includes questions health status demographics previously used compare selfreported overall health people general population specific conditions liver disease chronic pain or HIVAIDS In addition utilizing MEPS researchers included information CCSS siblings childhood cancer survivors The sibling findings matched MEPS results Using health status data collected adult CCSS respondents age 1849 researchers assigned healthrelated quality life scores 1 indicated perfect health 0 indicated death They found childhood cancer survivors reported chronic health conditions scores similar general population Survivors chronic conditions scores matched scores chronically ill members general population Findings include By enabling comparisons general population findings provide context better understand cancer experience may influence longterm wellbeing survivors said Jennifer Yeh PhD lead author study research scientist Center Health Decision Science Harvard Chan School This another way understand health challenges survivors face focus efforts improve longterm health quality life survivors The MEPS sample consisted 12803 individuals The CCSS sample included 7105 survivors pediatric cancer 372 siblings
418,56700,67,28,http://www.medicalnewstoday.com/articles/73129.php,Genetic Variations May Predispose Some Men To Suicidal Thoughts During Treatment For Depression,Men's Health,Men's Health,Depression,Psychology / Psychiatry,Genetics,1,4,4,3,3,4,4,4,4,4,1,3,4,1,3,4,1,3,3,1,2,3,Genetic variations may help explain men depression develop suicidal thoughts behaviors begin taking antidepressant medications not according report June issue Archives General Psychiatry  one JAMAArchives journals Although patients depression respond favorably antidepressant medications small subgroup may experience worse symptoms beginning treatment according background information article Regardless treatment specificity nearly antidepressant medication studies find patients experience suicidality suicidal thoughts behaviors treatment initiation authors write Identification subpopulation treatment would tremendous clinical utility Roy H Perlis MD Massachusetts General Hospital Harvard Medical School Boston colleagues studied 1447 individuals depression part Sequenced Treatment Alternatives Relieve Depression STARD study conducted July 2001 September 2006 express suicidal thoughts beginning study The participants men women ages 18 75 years diagnosed nonpsychotic major depressive disorder They took antidepressant citalopram hydrobromide 12 weeks following protocol advised followup treatment visits two four six nine 12 weeks optional visit 14 weeks needed The patients DNA analyzed common types mutations nearby within CREB1 gene codes protein previously suggested involved antidepressant effects suicide Of 1447 patients 123 85 percent reported suicidal thoughts behaviors least one followup visit including 54 10 percent 539 men Two five single nucleotide polymorphisms SNPs  variations occur single building block DNA altered  significantly strongly associated onset suicidality men women The researchers performed additional analyses suggesting variations linked suicidal thoughts behaviors men treatment No statistically significant association noted SNP presence absence baseline suicidality authors write Likewise evidence association noted SNP history lifetime suicide attempt Studies link genes illnesses compelling additional evidence genes function authors note We recently observed association CREB1 polymorphisms measure anger expression among males females sample 94 patients major depressive disorder hostility anger expression also associated suicide write If replicated finding would suggest pharmacogenetic testing could facilitate identification small subset individuals greater risk shortterm antidepressant treatment authors conclude  Arch Gen Psychiatry  200764689697  The STARD study supported federal funds National Institute Mental Health Dr Perlis supported National Institute Mental Health grant NARSAD Young Investigator Award grant Bowman Family Foundation Please see article additional information including authors author contributions affiliations financial disclosures funding support etc Contact Sue McGreevey JAMA Archives Journals
419,267690,60,33,http://www.medicalnewstoday.com/articles/309741.php,"Daily chocolate intake linked to lower risk of diabetes, heart disease",Nutrition / Diet,Nutrition / Diet,Diabetes,Heart Disease,Cardiovascular / Cardiology,5,5,5,5,5,5,4,5,4.67,4.67,5,2,5,4,1,4,4,1,3,4,1,3,Study coauthor Prof Saverio Stranges  visiting academic University Warwick Medical School United Kingdom scientific director Department Population Health Luxembourg Institute Health LIH  colleagues publish findings British Journal Nutrition Chocolate often perceived treat enjoyed time time Given high fat sugar content surprise overconsumption lead health problems tooth decay obesity However studies increasingly suggesting regular moderate chocolate consumption may yield significant health benefits particularly comes dark chocolate Dark chocolate highest cocoa content means highest levels antioxidants  specifically flavonoids  molecules prevent forms cell damage For study Prof Stranges colleagues analyzed chocolate consumption 1153 people aged 1869 part Observation Cardiovascular Risk Luxembourg ORISCAVLUX study Data chocolate intake gathered participants completion food frequency questionnaire The team set investigate whether chocolate intake associated insulin resistance  bodys cells effectively respond insulin raising risk type 2 diabetes heart disease They also assessed chocolate consumption affected liver enzyme levels measure liver function The researchers found 818 percent study participants consumed chocolate average consumption 248 grams daily Compared participants eat chocolate every day found reduced insulin resistance improved liver enzyme levels The effect stronger higher chocolate consumption team reports The findings remained accounting participants age sex education lifestyle dietary factors could affect results Dietary factors included intake tea coffee rich antioxidants polyphenols researchers say potential spur chocolates benefits cardiometabolic risk Cardiometabolic risk refers persons likelihood developing diabetes heart disease stroke Participants ate chocolate physically active younger highly educated eat chocolate according authors Prof Stranges colleagues say findings suggest chocolate consumption may reduce risk developing cardiometabolic disorders improving liver enzyme levels protecting insulin resistance Given growing body evidence including study cocoabased products may represent additional dietary recommendation improve cardiometabolic health however observational results need supported robust trial evidence Potential applications knowledge include recommendations healthcare professionals encourage individuals consume wide range phytochemicalrich foods include dark chocolate moderate amounts Prof Stranges Prof Stranges However Prof Stranges notes important distinguish difference chocolate contains natural cocoa processed chocolate latter much higher calories Therefore physical activity diet lifestyle factors must carefully balanced avoid detrimental weight gain time adds Read dark chocolate could boost athletic performance
420,271994,48,20,http://www.medicalnewstoday.com/articles/314099.php,High-protein diet may raise heart failure risk for older women,Nutrition / Diet,Nutrition / Diet,Heart Disease,Cardiovascular / Cardiology,Women's Health / Gynecology,4,3,4,3.666666667,4,4,1,4,3,3,5,2,2,4,2,2,4,1,2,4,2,1,Heart failure occurs heart longer able pump enough oxygenrich blood around body support organs According Centers Disease Control Prevention CDC around 57 million American adults heart failure 2009 heart failure contributed around 1 9 deaths United States A diet high fat cholesterol sodium known raise risk heart failure according study coauthor Dr Mohamad Firas Barbour Brown University Memorial Hospital Rhode Island colleagues diet high protein may harmful The researchers recently presented findings American Heart Associations Scientific Sessions 2016 held New Orleans LA Protein found foods meat poultry dairy products seafood beans peas nuts considered essential healthy bones muscles skin While studies suggested diet high protein may aid weight loss suppressing appetite research cited downfalls highprotein diet A 2014 study published journal Cell Metabolism example suggested link highprotein diet greater risk cancer diabetes allcause mortality Such studies claim animalderived proteins blame negative health implications plantderived proteins new research exception The researchers came findings analyzing data 103878 postmenopausal women aged 5079 years part Womens Health Initiative WHI As part survey participants required complete food frequency questionnaire assessed daily intake around 125 different food items 19931998 The researchers looked subjects total daily protein intake well total amount daily protein consumed meat vegetables Fast facts heart failure Learn heart failure The researchers note selfreported dietary data inaccurate also used biomarker data get reliable indication participants protein intake This involved assessing subjects urinary nitrogen doubly labeled water levels  measure metabolism All women free heart failure study baseline heart failure development monitored 2005 A total 1711 women study developed heart failure team reports Compared women low total protein intake higher total protein intake found much greater risk heart failure The risk greater among women consumed protein meat The results remained accounting age raceethnicity education level high blood pressure coronary heart disease anemia arterial fibrillation The researchers uncover association high intake vegetable proteins lower risk heart failure team accounted body mass index BMI result statistically significant The team warns findings interpreted caution research required suggest highprotein diet may linked heart failure Higher calibrated total dietary protein intake appears associated substantially increased heart failure risk vegetable protein intake appears protective although additional studies needed explore potential associationDr Mohamad Firas Barbour Heart failure highly prevalent especially postmenopausal women therefore better understanding nutritionrelated factors associated heart failure needed adds Dr Barbour Read study linking certain nonsteroidal antiinflammatory drugs greater heart failure risk
421,41925,36,25,http://www.medicalnewstoday.com/articles/54801.php,High Bread Intake Can Double Kidney Cancer Risk,Nutrition / Diet,Nutrition / Diet,Urology / Nephrology,Cancer / Oncology,Diabetes,4,1,5,3.333333333,3,2,4,5,3.67,3.67,3,4,3,3,1,1,4,2,1,4,2,2,People eat lots bread twice likely suffer kidney cancer compared people eat little bread say researchers Mario Negri Institute Pharmacological Research Milan Italy looking dietary habits kidney cancer patients You read study International Journal Cancer  The researchers said studies needed confirm link bread intake renal cell carcinoma kidney cancer The researchers looked details 2301 adult participants aged 24  79 767 494 men 273 women kidney cancer 1534 988 men 546 women not Information gathered eating drinking habits lifestyle BMI medical histories personal family They found consumed bread 94 higher risk developing kidney cancer compared consumed least bread Bread consumption ranged 9 28 portions week What exactly 28 portions bread mean A portion one oneandahalf slices bread 50gms 17 ounces So 28 portions means 14 20 sandwiches week depending thick slices are The researchers also found  High intake pasta rice raises kidney cancer risk 27  High intake milk andor yoghurt raises kidney cancer risk 29  High intake poultry lowers risk 26  High intake processed meat lowers risk 36  High intake vegetables lowers risk 35  The high intake following foods made difference risk coffee  tea soups red meat eggs cheese fish pulses potatoes desserts sugars fruits The researchers suggest blood sugar raising effects bread could playing factor increasing kidney cancer risk Insulinlike growth factor levels play role cancer risk may affected person eats lots bread Switching highbread diet high vegetable diet could lower persons risk say researchers Comment Editor Medical News Today As researchers say research needed If highbread consumers eaten highfiber wholemeal bread I wonder whether findings would same If researchers suggest bread raising bloodsugar levels may factor raising risk starchy foods raise risk Was percentage smokers or people smoked diagnosis kidney cancer group nonkidney cancer group Food groups renal cell carcinoma A casecontrol study Italy Francesca Bravi Cristina Bosetti Lorenza Scotti Renato Talamini Maurizio Montella Valerio Ramazzotti Eva Negri Silvia Franceschi Carlo La Vecchia International Journal Cancer  DOI 101002ijc22225 Published online 20 Oct 2006 Click see abstract online Written Christian Nordqvist
422,271104,27,9,http://www.medicalnewstoday.com/articles/313199.php,Genetic links between birth weight and adult disease,Genetics,Genetics,Diabetes,Cardiovascular / Cardiology,Heart Disease,3,2,3,2.666666667,3,3,2,4,3,3,3,2,3,1,1,4,2,2,3,1,2,4,The relationship birth weight individual susceptibility diseases adulthood type 2 diabetes cardiovascular disease important genetic component finds new paper published online Nature The study identifies 60 genomic regions associated birth weight previously identified Previous studies reported association birth weight future risk developing diseases new work demonstrates role genetic variation correlation Mark McCarthy colleagues combine genomewide association study GWAS data birth weight 153781 individuals representing multiple ancestries  including individuals European African American Chinese Filipino Surinamese Turkish Moroccan  total 37 studies First identify 60 genomic regions fetal genotype associated birth weight They study genetic associations understand relationship birth weight disease They find inverse genetic correlation birth weight risk factors developing type 2 diabetes coronary artery disease adult The authors caution results contrast with necessarily incompatible with idea adverse events taking place womb such nutrient deprivation trigger diseases later life They note future studies elucidate relationship events early life predisposition cardiometabolic disease several decades later
423,257703,34,34,http://www.medicalnewstoday.com/articles/299431.php,Does junk food shrink your brain?,Neurology / Neuroscience,Neurology / Neuroscience,Nutrition / Diet,Alzheimer's / Dementia,Mental Health,2,5,1,2.666666667,3,3,5,3,3.67,3.67,3,1,3,4,2,3,2,1,1,4,3,4,New research shown first time part brain used learning memory mental health smaller people unhealthy diets The results study researchers Deakin University Australian National University ANU suggest older Australians unhealthy diets smaller hippocampi  hippocampus part brain believed integral learning memory mental health It also shown older people healthier diets larger hippocampi Associate Professor Felice Jacka lead author study researcher Deakin Universitys IMPACT Strategic Research Centre Geelong said negative impact unhealthy foods waistline population grows evidence suggesting brain health also affected It becoming even clearer diet critically important mental well physical health throughout life Associate Professor Jacka said Weve known time components diet healthy unhealthy rapid impact aspects brain affect hippocampal size function studies done rats mice This first study show also appears case humans The researchers used magnetic resonance imaging measure size hippocampi there two brain  left right Australian adults aged 6064 years participating PATH study  large longitudinal study ageing conducted ANU They also measured participants regular diets took account range factors could affect hippocampus The results study published international journal BMC Medicine suggest older adults eat unhealthy foods sweet drinks salty snacks processed meats smaller left hippocampi It also shows older adults eat nutrientrich foods vegetables fruits fish larger left hippocampi These relationships existed factors may explain associations gender levels physical activity smoking education depression itself These findings relevance dementia mental health Associate Professor Jacka said Mental disorders account leading cause disability worldwide rates dementia increasing population ages said Recent research established diet nutrition related risk depression anxiety dementia however clear diet might exert influence mental health cognition This latest study sheds light least one pathways eating unhealthy diet may influence risk dementia cognitive decline mental disorders depression anxiety older people However also points importance diet brain health age groups As hippocampus critical learning memory throughout life well key part brain involved mental health study underscores importance good nutrition children adolescents adults ages
424,37757,65,40,http://www.medicalnewstoday.com/articles/49588.php,Depressed Singles Benefit From Marriage The Most,Depression,Depression,Bipolar,Psychology / Psychiatry,Mental Health,4,4,3,3.666666667,4,4,4,5,4.33,4.33,2,4,5,2,3,2,1,2,5,2,3,5,People benefit getting married people suffered depression single say researchers Ohio State Unversity USA Most previous studies marriage looked benefits whole population general rather trying find whether certain types people helped others Addrianne Frech coauthor study said Our findings question common assumption marriage always good choice individuals Addrianne Frech doctoral student sociology Kristi Williams Assistant Prof Of Sociology Ohio State University say first study examine benefits marriage depressed nondepressed people Williams said Those average benefits marriage may largely limited people depressed entered marriage There may strong benefits everyone They collected information National Survey Families Households The survey interviewed people 198788 199294 Frech Williams used data 3066 people single 198788 From 12 questions survey had possible measure peoples level depression For got married period examined measures marital happiness marital conflict Frech said We actually found opposite expected We thought depressed people would less likely benefit marriage depression one spouse put strain marriage undermine marital quality Williams done previous research indicated levels marital quality conflict key determining depression levels people got married Even study found reported low prevalence conflict less likely depressed Hence surprise found single depressed people seemed benefit marriage people depressed single They find depressed people reported overall lower levels marital quality got married compared nondepressed people Nevertheless people depressed single benefited psychologically marriage people depressed They investigate depressed people gain marriage Williams said If start happy far go But also depressed people may especially need intimacy emotional closeness social support marriage provide Marriage may give depressed people greater sense matter someone people depressed prior marriage may always thought way The researchers stressed study looked people married five years Whether benefits evident depressed people longer period children appear scene number divorces higher remains seen Frech said We cant focus average effects marriage wellbeing As study shows great deal variability benefits marriage httpwwwsociologyohiostateedu Written Christian Nordqvist
425,266757,68,27,http://www.medicalnewstoday.com/articles/308783.php,"Controlling blood pressure, sugar, cholesterol linked to lower cardiovascular disease ",Heart Disease,Heart Disease,Hypertension,Diabetes,Cholesterol,1,2,3,2,2,1,4,4,3,3,4,3,4,5,5,4,4,4,4,4,2,4,While controlling blood pressure blood sugar LDLcholesterol levels reduces risk cardiovascular disease people diabetes 7 percent diabetic participants three major heart studies recommended levels three factors according research Heart Disease Prevention Program University California Irvine School Medicine The findings illustrate need persons diabetes better manage blood pressure blood sugar LDLcholesterol levels prime indicators future cardiovascular disease The diabetic participants surveyed UCI review enrolled three heart studies late 80s early 2000s treatment good now Still recent data show 25 percent Americans diabetes achieve three targets The good news heart studies control three factors 62 percent lower risk developing cardiovascular disease according Nathan D Wong lead author UCI report appears online Diabetes Care But done dismal job nationally getting patients diabetes controlled even three measures said Wong director Heart Disease Prevention Program cardiology professor UCI Since cardiovascular diseases  including coronary heart disease stroke heart failure  leading causes death people diabetes findings underscore value achieving target lower levels modifiable risk factors added Wong colleagues studied 2018 adults 57 percent female diabetes mellitus without known cardiovascular diseases participated Atherosclerosis Risk Communities Study MultiEthnic Study Atherosclerosis Jackson Heart Study Fiftyfive percent African American 30 percent white 11 percent Hispanic 4 percent AsianPacific Islander The researchers compared measurements three key factors American Diabetes Association guidelines effect time  blood pressure 13080 mmHg LDL or bad cholesterol less 100 mgdL blood HbA1c glycated hemoglobin 7 percent Fortyone percent study group target one three categories 27 percent achieved two benchmarks 7 percent met recommended scores three Study participants control individual composite factors also examined relation occurrence new cardiovascular events including heart attacks coronary deaths strokes heart failure percutaneous interventions bypass surgeries average followup 11 years Wong said proper management one factor translated 36 percent lower risk proper management two factors linked 52 percent lower risk proper management three factors correlated 62 percent lower risk cardiovascular events compared without factors controlled Blood pressure management appeared benefit African Americans women ethnic groups men however converse true LDL control Our analysis three large US cohorts including persons diabetes diagnosed shows target levels HbA1c blood pressure LDL substantially lower risks cardiovascular disease persons diabetes target levels factors Wong said These findings emphasize importance composite control modifiable risk factors better address cardiovascular disease risks seen persons diabetes need development healthcare strategies better ensure management need studies evaluate eliminate barriers risk factor control persons diabetes
